Year,Name,Score,Location,Rank
2021,Indian Institute of Technology Madras,90.19,Chennai Tamil Nadu,1
2021,Indian Institute of Technology Delhi,88.96,New Delhi Delhi,2
2021,Indian Institute of Technology Bombay,85.16,Mumbai Maharashtra,3
2021,Indian Institute of Technology Kanpur,83.22,Kanpur Uttar Pradesh,4
2021,Indian Institute of Technology Kharagpur,82.03,Kharagpur West Bengal,5
2021,Indian Institute of Technology Roorkee,78.08,Roorkee Uttarakhand,6
2021,Indian Institute of Technology Guwahati,73.84,Guwahati Assam,7
2021,Indian Institute of Technology Hyderabad,68.69,Hyderabad Telangana,8
2021,National Institute of Technology Tiruchirappalli,66.08,Tiruchirappalli Tamil Nadu,9
2021,National Institute of Technology Karnataka,64.19,Surathkal Karnataka,10
2021,Indian Institute of Technology (Indian School of Mines),64.07,Dhanbad Jharkhand,11
2021,Vellore Institute of Technology,63.68,Vellore Tamil Nadu,12
2021,Indian Institute of Technology Indore,62.56,Indore Madhya Pradesh,13
2021,Indian Institute of Technology (Banaras Hindu University) Varanasi,62.10,Varanasi Uttar Pradesh,14
2021,Institute of Chemical Technology,60.31,Mumbai Maharashtra,15
2021,Amrita Vishwa Vidyapeetham,59.67,Coimbatore Tamil Nadu,16
2021,Jadavpur University,59.19,Kolkata West Bengal,17
2021,Anna University,58.31,Chennai Tamil Nadu,18
2021,Indian Institute of Technology Ropar,58.09,Rupnagar Punjab,19
2021,National Institute of Technology Rourkela,58.02,Rourkela Odisha,20
2021,Indian Institute of Technology Patna,57.38,Patna Bihar,21
2021,Indian Institute of Technology Gandhinagar,56.86,Gandhinagar Gujarat,22
2021,National Institute of Technology Warangal,56.76,Warangal Telangana,23
2021,Thapar Institute of Engineering and Technology,56.76,Patiala Punjab,23
2021,National Institute of Technology Calicut,56.48,Kozhikode Kerala,25
2021,Birla Institute of Technology & Science -Pilani,56.35,Pilani Rajasthan,26
2021,Indian Institute of Engineering Science and Technology,56.20,Shibpur West Bengal,27
2021,Indian Institute of Technology Bhubaneswar,55.71,Bhubaneswar Odisha,28
2021,National Institute of Technology Durgapur,55.48,Durgapur West Bengal,29
2021,Visvesvaraya National Institute of Technology,54.94,Nagpur Maharashtra,30
2021,Amity University,54.87,Gautam Budh Nagar Uttar Pradesh,31
2021,Siksha `O` Anusandhan,54.77,Bhubaneswar Odisha,32
2021,Jamia Millia Islamia,54.46,New Delhi Delhi,33
